Scene,entropy,si,ti,lap_var,lap_var_var,lap_p25,lap_p50,lap_p75,sharpness,thrash_hold
AoT1920x1080.mov_257,6.95357,8.813880429600534,22.621099775544135,275.39975779858355,139189.3724853822,-1.5833333333333333,0.0,1.4166666666666667,0,-1
AoT1920x1080.mov_258,7.0068231,4.781737298056285,24.5435732481709,236.80622215054004,62169.736207871625,-1.5,0.0,1.3,1,-1
AoT1920x1080.mov_259,7.274486666666666,5.917081738626152,18.932024072758185,180.02382074405205,20836.79891293249,-1.6666666666666667,0.0,1.4444444444444444,2,-1
AoT1920x1080.mov_260,6.36561,14.180318016350753,17.579785925844053,525.4212162862776,648961.5744246156,-2.2,0.0,2.0,0,-2
AoT1920x1080.mov_261,6.46287275,4.184586153506617,16.994334469053623,119.89626628124023,9056.708371645544,-1.5,0.0,1.25,0,-1
AoT1920x1080.mov_262,4.94603475,1.2239638693565393,12.069845709327822,321.6859590957657,20689.708160942715,-1.5,0.0,1.5,-1,-1
AoT1920x1080.mov_263,6.05642475,11.234179429745948,12.697240167947502,185.12129794971327,6305.599872432656,-1.25,0.0,1.25,0,-2
AoT1920x1080.mov_264,7.324768,1.9763775689365193,14.665798235436862,160.98779508074682,0.0,-2.0,0.0,2.0,-1,-1
AoT1920x1080.mov_265,6.8505563333333335,1.8819875257898506,19.31863402344055,178.02969732509777,6895.662409123335,-1.0,0.0,1.0,-1,0
AoT1920x1080.mov_266,7.1218775,3.389805286521634,18.288191509169064,400.8106228273867,21661.06894511323,-2.0,0.0,2.0,0,-2
AoT1920x1080.mov_267,7.283850384615385,9.494254647534254,19.073725285967793,456.29126956513767,383609.97746061103,-1.9230769230769231,0.0,1.4615384615384615,0,-1
AoT1920x1080.mov_268,7.315818888888889,10.19477195014926,24.384652492663136,258.9436206966742,66820.30903359037,-1.4444444444444444,0.0,1.3333333333333333,0,-1
AoT1920x1080.mov_269,7.158861,3.2781409536554165,15.651389896857749,36.455603266304394,14.59311481539326,-2.0,0.0,2.0,0,-1
AoT1920x1080.mov_270,6.5115008,8.037426570588554,15.995235599851707,290.1774015876118,174140.11251179044,-1.9,0.0,1.8,-1,-1
AoT1920x1080.mov_271,6.9888435,2.631346198688836,18.552443094750675,121.50279333154205,2946.2392602055793,-2.0,0.0,2.0,0,-2
AoT1920x1080.mov_272,6.7877762,4.9700071224816496,18.953917564641593,329.139651477783,109890.73635346183,-1.8,0.0,1.8,-1,-1
AoT1920x1080.mov_273,6.587026,3.1689943833969014,24.854673489164668,713.9281572898193,494746.58987601264,-1.5,0.0,1.5,-1,-1
AoT1920x1080.mov_274,6.4594746,6.536681888576628,11.83142193604753,137.9911131328301,18946.23362792579,-1.7,0.0,1.5,1,-1
AoT1920x1080.mov_275,6.972288333333333,10.629346809798534,6.111252065409286,267.8131707839046,67645.31520211636,-2.3333333333333335,0.0,1.6666666666666667,2,1
AoT1920x1080.mov_276,6.901398545454545,12.937808868798163,4.842010045437461,197.71815500329285,40467.40572455175,-1.7272727272727273,0.0,1.7272727272727273,2,1
AoT1920x1080.mov_277,6.83376975,13.338694412535048,3.9668698869637087,404.49475630235696,343014.28187168634,-1.25,0.0,1.25,2,1
AoT1920x1080.mov_278,6.814404333333333,12.764445622631385,3.783566313222036,52.17987090384304,584.9930671334124,-1.8333333333333333,0.0,1.8333333333333333,3,2
AoT1920x1080.mov_279,6.815430653846154,8.424537302911025,9.8685902976508,205.60631573028326,69135.5372916525,-1.8782051282051282,0.0,1.685897435897436,3,0
